12,98
345,678
12345,98765
5,6
1000000,1
56,44
7890,1234
50,75
102030,405060
999,1
42,58
11111,22222
876543,123456
333,777
123,321
888,111
2000,3000
1,1
50000,99999
4321,8765
9000,1000
55555,66666
20,30
7,14
65,35
2500,7500
88888,11111
100000,900000
456,654
98765,12345
1024,2048
333333,444444
2222,3333
1,9999
12,8
77,33
123456789,987654321
50,950
1024,512
25000,75000
567,890
67890,12345
8080,9090
12345,54321
123,456
987,654
32,8
1111,2222
10203,40506
500,500
33,77
44,66
99,1
1,2
25,75
1001,2002
33333,11111
88888,1234
4567,7654
123,987
9876,5432
765,123
111,222
678,123
4321,1234
98765,43210
102030,203040
55,45
77,23
123,321
500000,1000000
77,88
99,100
1234,5678
765,432
6789,9876
1024,2047
4444,5555
111,333
222,444
67890,12345
123456,654321
7890,9870
456,654
987654,123456
77,11
33333,99999
44444,55555
67890,12345
1234567,7654321
500,600
890,123
111,333
22222,44444
6789,12345
8000,9000
555,444
